wiki_name,formal_name,governorate,pop_density,2019_population,district_area_km2
15th of May (city),15 Māyū,Al-Qāhirah,1270.19,"96,522",75.99
"Abdeen, Cairo",'Ābidīn,Al-Qāhirah,24146.84,"41,605",1.72
El Darb El Ahmr,Ad-Darb al-Aḥmar,Al-Qāhirah,32299.79,"60,336",1.87
Dokki,Ad-Duqqī,Al-Jīzah,13426.56,"73,309",5.46
Ain Shams,'Ain Schams,Al-Qāhirah,76186.8,"633,798",8.32
El Ahram,Al-Ahrām,Al-Jīzah,37938.92,"681,383",17.96
Agouza,Al-'Ajūzah,Al-Jīzah,39164.24,"287,818",7.35
Al-Amīriīah,Al-Amīriīah,Al-Qāhirah,41371.71,"157,378",3.8
Azbakeya,Al-Azbakiyah,Al-Qāhirah,15321.56,"20,393",1.33
Badrshein,Al-Badrashayn,Al-Jīzah,4169.46,"563,294",135.1
El Basattin,Al-Basātīn,Al-Qāhirah,21811.87,"511,052",23.43
El Hawamdeya,Al-Ḥawāmidiyah,Al-Jīzah,11454.14,"198,042",17.29
El Jamaliyah,Al-Jamāliyah,Al-Qāhirah,18063.07,"37,517",2.08
El Khalifa,Al-Khalīfah,Al-Qāhirah,10980.07,"108,560",9.89
Al-Khānkah,Al-Khānkah,Al-Qalyūbyah,7606.12,"79,484",10.45
El Khankah,Al-Khānkah,Al-Qalyūbyah,4759.89,"591,654",124.3
El Khasos,Al-Khuṣūṣ,Al-Qalyūbyah,61591.36,"475,978",7.73
Maadi,Al-Ma'ādī,Al-Qāhirah,11928.47,"91,384",7.66
El Marg,Al-Marj,Al-Qāhirah,46996.92,"823,856",17.53
Al-Ma'ṣarah,Al-Ma'ṣarah,Al-Qāhirah,19700.78,"278,569",14.14
"Al-Matariyyah, Cairo",Al-Maṭariyah,Al-Qāhirah,86414.77,"621,495",7.19
Al-Muqaṭṭam,Al-Muqaṭṭam,Al-Qāhirah,8081.54,"231,213",28.61
"El Mosky, Cairo",Al-Mūskī,Al-Qāhirah,21058.3,"17,192",0.82
Qanatir el Qahiriya,Al-Qanāṭir al-Khayriyah,Al-Qalyūbyah,4747.8,"522,733",110.1
Obour (city),Al-'Ubūr,Al-Qalyūbyah,646.5,"135,312",209.3
Al Umraniyya,Al-'Umrāniyah,Al-Jīzah,51663.66,"378,333",7.32
"Al Warraq, Egypt",Al-Warrāq,Al-Jīzah,57647.55,"751,724",13.04
El Waily,Al-Waylī,Al-Qāhirah,16192.4,"81,804",5.05
"Al Nozha, Cairo",An-Nuzhah,Al-Qāhirah,3527.28,"238,550",67.63
El Sharabia,Ash-Sharābiyah,Al-Qāhirah,53304.17,"193,121",3.62
Sheikh Zayed City,Ash-Shaykh Zāyid,Al-Jīzah,2173.98,"93,742",43.12
El Shruq,Ash-Shurūq,Al-Qāhirah,514.47,"90,033",175
El Sahel,As-Sāḥil,Al-Qāhirah,50544.6,"326,417",6.46
As Sayyidah Zaynab,As-Sayyidah Zaynab,Al-Qāhirah,37642.03,"140,593",3.74
Aṭ-Ṭālbīah,Aṭ-Ṭālbīah,Al-Jīzah,45483.17,"473,025",10.4
El Tebin,At-Tibbīn,Al-Qāhirah,2789.79,"74,320",26.64
Ossim,Awsīm,Al-Jīzah,5536.72,"400,914",72.41
"Daher, Egypt",Aẓ-Ẓāhir,Al-Qāhirah,36669.14,"74,145",2.02
Zamalek,Az-Zamālik,Al-Qāhirah,5588.98,"15,420",2.76
El Zawya El Hamera,Az-Zāwiyah al-Ḥamrā',Al-Qāhirah,66699.04,"328,226",4.92
"Zeitoun, Cairo",Az-Zaytūn,Al-Qāhirah,40407.24,"179,691",4.45
Bab El Sharia,Bāb ash-Sha'riyah,Al-Qāhirah,46562.86,"48,146",1.03
Bulaq,Būlāq,Al-Qāhirah,16013.22,"49,673",3.1
Bulaq ad Dakrur,Būlāq al-Dakrūr,Al-Jīzah,76855.85,"992,209",12.91
Dār as-Salām,Dār as-Salām,Al-Qāhirah,96308.7,"542,218",5.63
El Qobbah,Hada'iq al-Qubbah ,Al-Qāhirah,81271.44,"326,061",4.01
Helwan,Ḥulwān,Al-Qāhirah,9653.84,"537,719",55.7
Imbaba,Imbābah,Al-Jīzah,59380.56,"653,780",11.01
Kerdasa,Kirdāsah,Al-Jīzah,5890.93,"468,329",79.5
"Badr, Egypt",Madīnat Badr,Al-Qāhirah,311.86,"32,278",103.5
"Heliopolis, Cairo",Miṣr al-Jādidah,Al-Qāhirah,14753.15,"138,355",9.38
Old Cairo,Miṣr al-Qadīmah,Al-Qāhirah,22650.35,"258,214",11.4
Manshiyat Naser,Munsha'āt Nāṣr,Al-Qāhirah,46693.59,"266,527",5.71
Kasr El Nile,Qaṣr an-Nīl,Al-Qāhirah,5767.72,"10,901",1.89
Rod El Farag,Rūd al-Faraj,Al-Qāhirah,52077.64,"150,244",2.89
Shubra,Shubrā,Al-Qāhirah,55996.46,"79,123",1.41
"Tora, Egypt",Ṭurah,Al-Qāhirah,5235.77,"237,390",45.34
New Cairo,Al-Qāhirah al-Jadīdah 1,Al-Qāhirah,895.49,"306,767",342.57
Giza,Al-Jīzah,Al-Jīzah,8078.63,"680,463",84.23
"El Salam, Cairo",As-Salām 1,Al-Qāhirah,20021.54,"654,504",32.69
Nasr City,Madīnat an-Naṣr 1,Al-Qāhirah,7727.07,"729,281",94.38
10th of Ramadan (city),Madīnat 'Ashirh min-Ramaḍān 1,Ash-Sharqiyah,3552.81,"234,770",66.08
6th of October (city),Madīnat Sittah Uktūbar 2,Al-Jīzah,824.11,"360,549",437.5
Qalyub,Qalyūb,Al-Qalyūbyah,6036.01,"730,176",120.97
Shubra El Kheima,Shubrā al-Khaymah 1,Al-Qalyūbyah,40249.9,"1,207,497",30
